lincs_column,naor_column
Cells_Neighbors_AngleBetweenNeighbors_10,Cells_Neighbors_AngleBetweenNeighbors_5
Cells_Neighbors_FirstClosestDistance_10,Cells_Neighbors_FirstClosestDistance_5
Cells_Neighbors_FirstClosestObjectNumber_10,Cells_Neighbors_FirstClosestObjectNumber_5
Cells_Neighbors_NumberOfNeighbors_10,Cells_Neighbors_NumberOfNeighbors_5
Cells_Neighbors_PercentTouching_10,Cells_Neighbors_PercentTouching_5
Cells_Neighbors_SecondClosestDistance_10,Cells_Neighbors_SecondClosestDistance_5
Cells_Neighbors_SecondClosestObjectNumber_10,Cells_Neighbors_SecondClosestObjectNumber_5
Cells_Texture_AngularSecondMoment_AGP_20_0,Cells_Texture_AngularSecondMoment_AGP_3_0
Cells_Texture_AngularSecondMoment_DNA_20_0,Cells_Texture_AngularSecondMoment_DNA_3_0
Cells_Texture_AngularSecondMoment_ER_20_0,Cells_Texture_AngularSecondMoment_ER_3_0
Cells_Texture_AngularSecondMoment_Mito_20_0,Cells_Texture_AngularSecondMoment_Mito_3_0
Cells_Texture_AngularSecondMoment_RNA_20_0,Cells_Texture_AngularSecondMoment_RNA_3_0
Cells_Texture_Contrast_AGP_20_0,Cells_Texture_Contrast_AGP_3_0
Cells_Texture_Contrast_DNA_20_0,Cells_Texture_Contrast_DNA_3_0
Cells_Texture_Contrast_ER_20_0,Cells_Texture_Contrast_ER_3_0
Cells_Texture_Contrast_Mito_20_0,Cells_Texture_Contrast_Mito_3_0
Cells_Texture_Contrast_RNA_20_0,Cells_Texture_Contrast_RNA_3_0
Cells_Texture_Correlation_AGP_20_0,Cells_Texture_Correlation_AGP_3_0
Cells_Texture_Correlation_DNA_20_0,Cells_Texture_Correlation_DNA_3_0
Cells_Texture_Correlation_ER_20_0,Cells_Texture_Correlation_ER_3_0
Cells_Texture_Correlation_Mito_20_0,Cells_Texture_Correlation_Mito_3_0
Cells_Texture_Correlation_RNA_20_0,Cells_Texture_Correlation_RNA_3_0
Cells_Texture_DifferenceEntropy_AGP_20_0,Cells_Texture_DifferenceEntropy_AGP_3_0
Cells_Texture_DifferenceEntropy_DNA_20_0,Cells_Texture_DifferenceEntropy_DNA_3_0
Cells_Texture_DifferenceEntropy_ER_20_0,Cells_Texture_DifferenceEntropy_ER_3_0
Cells_Texture_DifferenceEntropy_Mito_20_0,Cells_Texture_DifferenceEntropy_Mito_3_0
Cells_Texture_DifferenceEntropy_RNA_20_0,Cells_Texture_DifferenceEntropy_RNA_3_0
Cells_Texture_DifferenceVariance_AGP_20_0,Cells_Texture_DifferenceVariance_AGP_3_0
Cells_Texture_DifferenceVariance_DNA_20_0,Cells_Texture_DifferenceVariance_DNA_3_0
Cells_Texture_DifferenceVariance_ER_20_0,Cells_Texture_DifferenceVariance_ER_3_0
Cells_Texture_DifferenceVariance_Mito_20_0,Cells_Texture_DifferenceVariance_Mito_3_0
Cells_Texture_DifferenceVariance_RNA_20_0,Cells_Texture_DifferenceVariance_RNA_3_0
Cells_Texture_Entropy_AGP_20_0,Cells_Texture_Entropy_AGP_3_0
Cells_Texture_Entropy_DNA_20_0,Cells_Texture_Entropy_DNA_3_0
Cells_Texture_Entropy_ER_20_0,Cells_Texture_Entropy_ER_3_0
Cells_Texture_Entropy_Mito_20_0,Cells_Texture_Entropy_Mito_3_0
Cells_Texture_Entropy_RNA_20_0,Cells_Texture_Entropy_RNA_3_0
Cells_Texture_Gabor_AGP_20,Cells_Texture_Gabor_AGP_3
Cells_Texture_Gabor_DNA_20,Cells_Texture_Gabor_DNA_3
Cells_Texture_Gabor_ER_20,Cells_Texture_Gabor_ER_3
Cells_Texture_Gabor_Mito_20,Cells_Texture_Gabor_Mito_3
Cells_Texture_Gabor_RNA_20,Cells_Texture_Gabor_RNA_3
Cells_Texture_InfoMeas1_AGP_20_0,Cells_Texture_InfoMeas1_AGP_3_0
Cells_Texture_InfoMeas1_DNA_20_0,Cells_Texture_InfoMeas1_DNA_3_0
Cells_Texture_InfoMeas1_ER_20_0,Cells_Texture_InfoMeas1_ER_3_0
Cells_Texture_InfoMeas1_Mito_20_0,Cells_Texture_InfoMeas1_Mito_3_0
Cells_Texture_InfoMeas1_RNA_20_0,Cells_Texture_InfoMeas1_RNA_3_0
