Plate,Metadata_ASSAY_WELL_ROLE,Mode,Image_Metadata_Well,Count
SQ00014812,treated,predict,"{'B05', 'A03', 'B01', 'F07', 'A02', 'B03', 'J15', 'B02', 'A06', 'J18', 'J17', 'B04', 'A05', 'F12', 'F08', 'F10', 'J14', 'F11', 'A01', 'F09', 'A04', 'B06', 'J16', 'J13'}",64112
SQ00014812,mock,train,"{'P14', 'J09', 'B24', 'H20', 'E16'}",12565
SQ00014812,mock,predict,"{'H08', 'C15', 'G05', 'J06', 'H06', 'L23', 'L14', 'J02', 'L02', 'F22', 'F14', 'P18', 'N13', 'K15', 'P02', 'F24', 'J20', 'I04', 'F06', 'B16', 'G21', 'E22', 'L05', 'O03', 'J11', 'C14', 'I12', 'I20', 'L01', 'F15', 'N02', 'D05', 'N15', 'M07', 'E11', 'O07', 'C10', 'G01', 'G13', 'P22', 'J24', 'B20', 'A14', 'M15', 'H04', 'J12', 'P09', 'H01', 'F17', 'H13', 'O10', 'M24', 'J23', 'K22', 'H10', 'K21', 'G12', 'M02', 'O19', 'D04', 'H03', 'F18', 'J19', 'I06', 'E02', 'F23', 'C04', 'B10', 'N04', 'I01', 'B14', 'P04', 'A12', 'M09', 'C24', 'O21', 'A24', 'E03', 'I03', 'G10', 'L09', 'D16', 'J10', 'I13', 'P06', 'B22', 'P23', 'D10', 'D09', 'O09', 'A15', 'P19', 'A09', 'N08', 'E01', 'A20', 'H11', 'J01', 'M11', 'H23', 'H22', 'I15', 'N01', 'I17', 'I05', 'I16', 'E17', 'P15', 'C07', 'N09', 'M21', 'M05', 'I02', 'N18', 'P03', 'J08', 'E04', 'B11', 'L07', 'K17', 'K18', 'G20', 'L08', 'K08', 'B08', 'D17', 'E09', 'B12', 'D02', 'N16', 'D21', 'G07', 'P13', 'H12', 'O13', 'B17', 'D20', 'P07', 'D23', 'O14', 'L18', 'K06', 'E05', 'F20', 'G11', 'M03', 'A13', 'L17', 'B19', 'N07', 'O06', 'I08', 'N03', 'G18', 'P17', 'J22', 'C21', 'P24', 'H24', 'L16', 'N10', 'K20', 'E15', 'I21', 'J07', 'K04', 'M12', 'O02', 'N14', 'O05', 'O01', 'C03', 'O20', 'L03', 'I18', 'N17', 'D19', 'A17', 'C17', 'P21', 'K01', 'P10', 'G19', 'C13', 'B23', 'I11', 'M01', 'D14', 'A22', 'D22', 'E14', 'O23', 'A18', 'C20', 'E20', 'L20', 'D18', 'O12', 'F21', 'B09', 'C08', 'K11', 'G03', 'D08', 'A16', 'F16', 'G23', 'E07', 'L10', 'I22', 'I23', 'E21', 'K13', 'N23', 'K16', 'B21', 'G14', 'L19', 'H18', 'C11', 'M08', 'C18', 'H09', 'A23', 'I10', 'A21', 'D12', 'F01', 'O15', 'D06', 'G16', 'G08', 'L15', 'K09', 'H21', 'C22', 'D24', 'L22', 'M19', 'M13', 'J05', 'C23', 'L12', 'M06', 'H07', 'H14', 'P20', 'K23', 'J03', 'C02', 'C05', 'H15', 'G15', 'F19', 'L24', 'K07', 'K10', 'H05', 'D01', 'G06', 'N05', 'O22', 'E13', 'C01', 'O24', 'L06', 'M20', 'P12', 'O16', 'F13', 'F03', 'H16', 'B07', 'B18', 'O11', 'A08', 'O08', 'L04', 'M14', 'H17', 'O18', 'A11', 'F02', 'G09', 'B13', 'O04', 'N11', 'G22', 'P05', 'E18', 'E23', 'N19', 'N22', 'E12', 'K24', 'D13', 'C19', 'D11', 'I24', 'K14', 'I19', 'O17', 'A10', 'C16', 'M04', 'C12', 'N06', 'C09', 'G24', 'N21', 'L11', 'N20', 'M23', 'E24', 'G04', 'D03', 'M22', 'I07', 'J21', 'I09', 'P11', 'K12', 'E10', 'N24', 'P08', 'M17', 'A07', 'K19', 'E06', 'N12', 'M10', 'D07', 'B15', 'M16', 'J04', 'C06', 'K03', 'P01', 'P16', 'E19', 'D15', 'F05', 'F04', 'M18', 'E08', 'H02', 'I14', 'H19', 'L21', 'L13', 'G17', 'K05', 'K02', 'G02', 'A19'}",720577
SQ00015142,treated,predict,"{'B05', 'A03', 'B01', 'F07', 'A02', 'B03', 'J15', 'B02', 'A06', 'J18', 'J17', 'B04', 'A05', 'F12', 'F08', 'F10', 'J14', 'F11', 'A01', 'F09', 'A04', 'B06', 'J16', 'J13'}",68708
SQ00015142,mock,train,"{'G08', 'H01', 'J07', 'H03', 'E12'}",14128
SQ00015142,mock,predict,"{'H08', 'C15', 'G05', 'J06', 'H06', 'L23', 'L14', 'J02', 'L02', 'F22', 'F14', 'P18', 'N13', 'K15', 'P02', 'F24', 'J20', 'I04', 'F06', 'B16', 'G21', 'E22', 'L05', 'O03', 'J11', 'C14', 'I12', 'I20', 'L01', 'F15', 'N02', 'D05', 'N15', 'M07', 'E11', 'O07', 'C10', 'G01', 'G13', 'P22', 'J24', 'B20', 'A14', 'M15', 'H04', 'J12', 'P09', 'F17', 'H13', 'O10', 'M24', 'J23', 'K22', 'H10', 'K21', 'G12', 'M02', 'O19', 'D04', 'F18', 'J19', 'I06', 'E02', 'F23', 'C04', 'B10', 'N04', 'I01', 'B14', 'P04', 'A12', 'M09', 'C24', 'O21', 'A24', 'E03', 'I03', 'G10', 'L09', 'D16', 'J10', 'I13', 'P06', 'B22', 'P23', 'D10', 'D09', 'O09', 'B24', 'A15', 'P19', 'A09', 'N08', 'E01', 'A20', 'H11', 'J01', 'M11', 'H23', 'H22', 'I15', 'N01', 'I17', 'I05', 'I16', 'E17', 'P15', 'C07', 'N09', 'M21', 'M05', 'I02', 'N18', 'P03', 'J08', 'E04', 'B11', 'L07', 'K17', 'K18', 'G20', 'L08', 'K08', 'B08', 'D17', 'P14', 'E09', 'B12', 'D02', 'N16', 'D21', 'G07', 'P13', 'H12', 'O13', 'B17', 'D20', 'P07', 'D23', 'O14', 'L18', 'K06', 'E05', 'F20', 'G11', 'M03', 'A13', 'H20', 'L17', 'B19', 'N07', 'O06', 'I08', 'N03', 'G18', 'P17', 'J22', 'C21', 'P24', 'H24', 'L16', 'N10', 'K20', 'E15', 'I21', 'K04', 'M12', 'O02', 'N14', 'O05', 'O01', 'C03', 'O20', 'L03', 'I18', 'N17', 'D19', 'J09', 'A17', 'C17', 'P21', 'K01', 'P10', 'G19', 'C13', 'B23', 'I11', 'M01', 'D14', 'A22', 'D22', 'E14', 'O23', 'A18', 'C20', 'E20', 'L20', 'D18', 'O12', 'F21', 'B09', 'C08', 'K11', 'G03', 'D08', 'A16', 'F16', 'G23', 'E07', 'L10', 'I22', 'I23', 'E21', 'K13', 'N23', 'K16', 'B21', 'G14', 'L19', 'H18', 'C11', 'M08', 'C18', 'H09', 'A23', 'I10', 'A21', 'D12', 'F01', 'O15', 'D06', 'G16', 'L15', 'K09', 'H21', 'C22', 'D24', 'L22', 'M19', 'M13', 'J05', 'C23', 'L12', 'M06', 'H07', 'H14', 'P20', 'K23', 'J03', 'C02', 'C05', 'H15', 'G15', 'F19', 'L24', 'K07', 'K10', 'H05', 'D01', 'G06', 'N05', 'O22', 'E13', 'C01', 'O24', 'L06', 'M20', 'P12', 'O16', 'F13', 'F03', 'H16', 'B07', 'B18', 'O11', 'A08', 'O08', 'L04', 'M14', 'H17', 'O18', 'A11', 'F02', 'G09', 'B13', 'O04', 'N11', 'G22', 'P05', 'E18', 'E23', 'N19', 'N22', 'K24', 'D13', 'C19', 'D11', 'I24', 'K14', 'I19', 'O17', 'A10', 'C16', 'M04', 'C12', 'N06', 'C09', 'G24', 'N21', 'L11', 'N20', 'M23', 'E24', 'G04', 'D03', 'M22', 'I07', 'J21', 'I09', 'P11', 'K12', 'E10', 'N24', 'P08', 'M17', 'A07', 'K19', 'E06', 'N12', 'M10', 'D07', 'B15', 'M16', 'E16', 'J04', 'C06', 'K03', 'P01', 'P16', 'E19', 'D15', 'F05', 'F04', 'M18', 'E08', 'H02', 'I14', 'H19', 'L21', 'L13', 'G17', 'K05', 'K02', 'G02', 'A19'}",947620
SQ00015106,treated,predict,"{'B05', 'A03', 'B01', 'F07', 'A02', 'B03', 'J15', 'B02', 'A06', 'J18', 'J17', 'B04', 'A05', 'F12', 'F08', 'F10', 'J14', 'F11', 'A01', 'F09', 'A04', 'B06', 'J16', 'J13'}",40121
SQ00015106,mock,train,"{'B09', 'E11', 'D18', 'M23', 'F24'}",7151
SQ00015106,mock,predict,"{'H08', 'C15', 'G05', 'J06', 'H06', 'L23', 'L14', 'J02', 'L02', 'F22', 'F14', 'P18', 'N13', 'K15', 'P02', 'J20', 'I04', 'F06', 'B16', 'G21', 'E22', 'L05', 'O03', 'J11', 'C14', 'I20', 'I12', 'L01', 'F15', 'N02', 'D05', 'N15', 'M07', 'O07', 'C10', 'G01', 'G13', 'P22', 'J24', 'B20', 'M15', 'A14', 'H04', 'J12', 'P09', 'H01', 'F17', 'H13', 'O10', 'M24', 'J23', 'K22', 'H10', 'K21', 'G12', 'M02', 'O19', 'D04', 'H03', 'F18', 'J19', 'I06', 'E02', 'F23', 'C04', 'B10', 'N04', 'I01', 'B14', 'P04', 'A12', 'M09', 'C24', 'O21', 'A24', 'E03', 'I03', 'G10', 'L09', 'D16', 'J10', 'I13', 'P06', 'B22', 'P23', 'D10', 'D09', 'O09', 'B24', 'A15', 'P19', 'A09', 'N08', 'E01', 'A20', 'H11', 'J01', 'M11', 'H23', 'H22', 'I15', 'N01', 'I17', 'I05', 'I16', 'E17', 'P15', 'C07', 'N09', 'M21', 'M05', 'I02', 'N18', 'P03', 'J08', 'E04', 'B11', 'L07', 'K17', 'K18', 'G20', 'L08', 'K08', 'B08', 'D17', 'P14', 'E09', 'B12', 'D02', 'N16', 'D21', 'G07', 'P13', 'O13', 'H12', 'B17', 'D20', 'P07', 'D23', 'O14', 'L18', 'K06', 'E05', 'F20', 'G11', 'M03', 'A13', 'H20', 'L17', 'B19', 'N07', 'O06', 'I08', 'N03', 'G18', 'P17', 'J22', 'C21', 'P24', 'H24', 'L16', 'N10', 'K20', 'E15', 'I21', 'A19', 'J07', 'K04', 'M12', 'O02', 'N14', 'O05', 'C03', 'O01', 'O20', 'L03', 'I18', 'N17', 'D19', 'J09', 'A17', 'C17', 'P21', 'K01', 'G19', 'P10', 'C13', 'B23', 'I11', 'M01', 'D14', 'A22', 'D22', 'E14', 'O23', 'A18', 'C20', 'E20', 'L20', 'O12', 'F21', 'C08', 'K11', 'G03', 'D08', 'A16', 'F16', 'G23', 'E07', 'L10', 'I22', 'I23', 'E21', 'K13', 'N23', 'K16', 'B21', 'G14', 'L19', 'H18', 'C11', 'M08', 'C18', 'H09', 'A23', 'I10', 'A21', 'D12', 'F01', 'O15', 'D06', 'G16', 'G08', 'L15', 'K09', 'H21', 'C22', 'D24', 'L22', 'M19', 'M13', 'J05', 'C23', 'M06', 'L12', 'H07', 'H14', 'P20', 'K23', 'J03', 'C02', 'C05', 'H15', 'G15', 'F19', 'L24', 'K07', 'K10', 'H05', 'D01', 'G06', 'N05', 'O22', 'C01', 'E13', 'O24', 'L06', 'M20', 'P12', 'O16', 'F13', 'F03', 'H16', 'B07', 'B18', 'O11', 'O08', 'A08', 'L04', 'M14', 'H17', 'O18', 'A11', 'F02', 'G09', 'B13', 'O04', 'N11', 'G22', 'P05', 'E18', 'E23', 'N19', 'N22', 'E12', 'K24', 'D13', 'C19', 'D11', 'I24', 'K14', 'I19', 'O17', 'A10', 'C16', 'M04', 'C12', 'N06', 'C09', 'G24', 'N21', 'L11', 'N20', 'E24', 'G04', 'D03', 'M22', 'I07', 'J21', 'I09', 'K12', 'E10', 'N24', 'P08', 'M17', 'A07', 'K19', 'E06', 'N12', 'M10', 'D07', 'B15', 'M16', 'E16', 'J04', 'C06', 'K03', 'P01', 'P16', 'E19', 'D15', 'F05', 'F04', 'M18', 'E08', 'H02', 'I14', 'H19', 'L21', 'L13', 'G17', 'K05', 'K02', 'G02', 'P11'}",456461
SQ00015108,treated,predict,"{'B05', 'A03', 'B01', 'F07', 'A02', 'B03', 'J15', 'B02', 'A06', 'J18', 'J17', 'B04', 'A05', 'F12', 'F08', 'F10', 'J14', 'F11', 'A01', 'F09', 'A04', 'B06', 'J16', 'J13'}",39366
SQ00015108,mock,train,"{'P19', 'K17', 'D12', 'K23', 'G23'}",7238
SQ00015108,mock,predict,"{'H08', 'C15', 'G05', 'J06', 'H06', 'L23', 'L14', 'J02', 'L02', 'F22', 'F14', 'P18', 'N13', 'K15', 'P02', 'F24', 'J20', 'I04', 'F06', 'B16', 'G21', 'E22', 'L05', 'O03', 'J11', 'C14', 'I20', 'I12', 'L01', 'F15', 'N02', 'D05', 'N15', 'M07', 'E11', 'O07', 'C10', 'G01', 'G13', 'P22', 'J24', 'B20', 'M15', 'A14', 'H04', 'J12', 'P09', 'H01', 'F17', 'H13', 'O10', 'M24', 'J23', 'K22', 'H10', 'K21', 'G12', 'M02', 'O19', 'D04', 'H03', 'F18', 'J19', 'I06', 'E02', 'F23', 'C04', 'B10', 'N04', 'I01', 'B14', 'P04', 'A12', 'M09', 'C24', 'O21', 'A24', 'E03', 'I03', 'G10', 'L09', 'D16', 'J10', 'I13', 'P06', 'B22', 'P23', 'D10', 'D09', 'O09', 'B24', 'A15', 'A09', 'N08', 'E01', 'A20', 'H11', 'J01', 'M11', 'H23', 'H22', 'I15', 'N01', 'I17', 'I05', 'I16', 'E17', 'P15', 'C07', 'N09', 'M21', 'M05', 'I02', 'N18', 'P03', 'J08', 'E04', 'B11', 'L07', 'K18', 'G20', 'L08', 'K08', 'B08', 'D17', 'P14', 'E09', 'B12', 'D02', 'N16', 'D21', 'G07', 'P13', 'O13', 'H12', 'B17', 'D20', 'P07', 'D23', 'O14', 'L18', 'K06', 'E05', 'F20', 'G11', 'M03', 'A13', 'H20', 'L17', 'B19', 'N07', 'O06', 'I08', 'N03', 'G18', 'P17', 'J22', 'C21', 'P24', 'H24', 'L16', 'N10', 'K20', 'E15', 'I21', 'A19', 'J07', 'K04', 'M12', 'O02', 'N14', 'O05', 'C03', 'O01', 'O20', 'L03', 'I18', 'N17', 'D19', 'J09', 'A17', 'C17', 'P21', 'K01', 'G19', 'P10', 'C13', 'B23', 'I11', 'M01', 'D14', 'A22', 'D22', 'E14', 'O23', 'A18', 'C20', 'E20', 'L20', 'D18', 'O12', 'F21', 'B09', 'C08', 'K11', 'G03', 'D08', 'A16', 'F16', 'E07', 'L10', 'I22', 'I23', 'E21', 'K13', 'N23', 'K16', 'B21', 'G14', 'L19', 'H18', 'C11', 'M08', 'C18', 'H09', 'A23', 'I10', 'A21', 'F01', 'O15', 'D06', 'G16', 'G08', 'L15', 'K09', 'H21', 'C22', 'D24', 'L22', 'M19', 'M13', 'J05', 'C23', 'M06', 'L12', 'H07', 'H14', 'P20', 'J03', 'C02', 'C05', 'H15', 'G15', 'F19', 'L24', 'K07', 'K10', 'H05', 'D01', 'G06', 'N05', 'O22', 'C01', 'E13', 'O24', 'L06', 'M20', 'P12', 'O16', 'F13', 'F03', 'H16', 'B07', 'B18', 'O11', 'O08', 'A08', 'L04', 'M14', 'H17', 'O18', 'A11', 'F02', 'G09', 'B13', 'O04', 'N11', 'G22', 'P05', 'E18', 'E23', 'N19', 'N22', 'E12', 'K24', 'D13', 'C19', 'D11', 'I24', 'K14', 'I19', 'O17', 'A10', 'C16', 'M04', 'C12', 'N06', 'C09', 'G24', 'N21', 'L11', 'N20', 'M23', 'E24', 'G04', 'D03', 'M22', 'I07', 'J21', 'I09', 'K12', 'E10', 'N24', 'P08', 'M17', 'A07', 'K19', 'E06', 'N12', 'M10', 'D07', 'B15', 'M16', 'E16', 'J04', 'C06', 'K03', 'P01', 'P16', 'E19', 'D15', 'F05', 'F04', 'M18', 'E08', 'H02', 'I14', 'H19', 'L21', 'L13', 'G17', 'K05', 'K02', 'G02', 'P11'}",470999
SQ00015224,treated,predict,"{'B05', 'A03', 'B01', 'F07', 'A02', 'B03', 'J15', 'B02', 'A06', 'J18', 'J17', 'B04', 'A05', 'F12', 'F08', 'F10', 'J14', 'F11', 'A01', 'F09', 'A04', 'B06', 'J16', 'J13'}",36571
SQ00015224,mock,train,"{'A18', 'L06', 'J01', 'L03', 'I15'}",8054
